,equity
2023-04-12 18:22:00+00:00,10588.334968403558
2023-04-12 18:23:00+00:00,10588.334968403558
2023-04-12 18:24:00+00:00,10588.334968403558
2023-04-12 18:25:00+00:00,10588.334968403558
2023-04-12 18:26:00+00:00,10588.334968403558
2023-04-12 18:27:00+00:00,10588.334968403558
2023-04-12 18:28:00+00:00,10588.334968403558
2023-04-12 18:29:00+00:00,10588.334968403558
2023-04-12 18:30:00+00:00,11178.584203897355
2023-04-12 18:31:00+00:00,11178.584203897355
2023-04-12 18:32:00+00:00,11178.584203897355
2023-04-12 18:33:00+00:00,11363.419526468224
2023-04-12 18:34:00+00:00,11363.419526468224
2023-04-12 18:35:00+00:00,11363.419526468224
2023-04-12 18:36:00+00:00,11363.419526468224
2023-04-12 18:37:00+00:00,11363.419526468224
2023-04-12 18:38:00+00:00,11363.419526468224
2023-04-12 18:39:00+00:00,11363.419526468224
2023-04-12 18:40:00+00:00,11363.419526468224
2023-04-12 18:41:00+00:00,11363.419526468224
2023-04-12 18:42:00+00:00,11363.419526468224
2023-04-12 18:43:00+00:00,11363.419526468224
2023-04-12 18:44:00+00:00,11363.419526468224
2023-04-12 18:45:00+00:00,11363.419526468224
2023-04-12 18:46:00+00:00,11363.419526468224
2023-04-12 18:47:00+00:00,11363.419526468224
2023-04-12 18:48:00+00:00,11363.419526468224
2023-04-12 18:49:00+00:00,11363.419526468224
2023-04-12 18:50:00+00:00,11363.419526468224
2023-04-12 18:51:00+00:00,11363.419526468224
2023-04-12 18:52:00+00:00,11363.419526468224
2023-04-12 18:53:00+00:00,11363.419526468224
2023-04-12 18:54:00+00:00,11363.419526468224
2023-04-12 18:55:00+00:00,11363.419526468224
2023-04-12 18:56:00+00:00,11363.419526468224
2023-04-12 18:57:00+00:00,11363.419526468224
2023-04-12 18:58:00+00:00,11363.419526468224
2023-04-12 18:59:00+00:00,11363.419526468224
2023-04-12 19:00:00+00:00,11363.419526468224
2023-04-12 19:01:00+00:00,11363.419526468224
2023-04-12 19:02:00+00:00,11363.419526468224
2023-04-12 19:03:00+00:00,11363.419526468224
2023-04-12 19:04:00+00:00,11363.419526468224
2023-04-12 19:05:00+00:00,11363.419526468224
2023-04-12 19:06:00+00:00,11363.419526468224
2023-04-12 19:07:00+00:00,11363.419526468224
2023-04-12 19:08:00+00:00,11363.419526468224
2023-04-12 19:09:00+00:00,11363.419526468224
2023-04-12 19:10:00+00:00,11363.419526468224
2023-04-12 19:11:00+00:00,11363.419526468224
2023-04-12 19:12:00+00:00,11363.419526468224
2023-04-12 19:13:00+00:00,11363.419526468224
2023-04-12 19:14:00+00:00,11363.419526468224
2023-04-12 19:15:00+00:00,11363.419526468224
2023-04-12 19:16:00+00:00,11363.419526468224
2023-04-12 19:17:00+00:00,11363.419526468224
2023-04-12 19:18:00+00:00,11363.419526468224
2023-04-12 19:19:00+00:00,11363.419526468224
2023-04-12 19:20:00+00:00,11363.419526468224
2023-04-12 19:21:00+00:00,11363.419526468224
2023-04-12 19:22:00+00:00,11363.419526468224
2023-04-12 19:23:00+00:00,11363.419526468224
2023-04-12 19:24:00+00:00,11363.419526468224
2023-04-12 19:25:00+00:00,11363.419526468224
2023-04-12 19:26:00+00:00,11363.419526468224
2023-04-12 19:27:00+00:00,11363.419526468224
2023-04-12 19:28:00+00:00,11363.419526468224
2023-04-12 19:29:00+00:00,11363.419526468224
2023-04-12 19:30:00+00:00,11363.419526468224
2023-04-12 19:31:00+00:00,11363.419526468224
2023-04-12 19:32:00+00:00,11363.419526468224
2023-04-12 19:33:00+00:00,11363.419526468224
2023-04-12 19:34:00+00:00,11363.419526468224
2023-04-12 19:35:00+00:00,11363.419526468224
2023-04-12 19:36:00+00:00,11363.419526468224
2023-04-12 19:37:00+00:00,11363.419526468224
2023-04-12 19:38:00+00:00,11363.419526468224
2023-04-12 19:39:00+00:00,11363.419526468224
2023-04-12 19:40:00+00:00,11363.419526468224
2023-04-12 19:41:00+00:00,11363.419526468224
2023-04-12 19:42:00+00:00,11363.419526468224
2023-04-12 19:43:00+00:00,11363.419526468224
2023-04-12 19:44:00+00:00,11363.419526468224
2023-04-12 19:45:00+00:00,11363.419526468224
2023-04-12 19:46:00+00:00,11363.419526468224
2023-04-12 19:47:00+00:00,11363.419526468224
2023-04-12 19:48:00+00:00,11363.419526468224
2023-04-12 19:49:00+00:00,11363.419526468224
2023-04-12 19:50:00+00:00,11363.419526468224
2023-04-12 19:51:00+00:00,11363.419526468224
2023-04-12 19:52:00+00:00,11363.419526468224
2023-04-12 19:53:00+00:00,11363.419526468224
2023-04-12 19:54:00+00:00,11363.419526468224
2023-04-12 19:55:00+00:00,11419.606261330202
2023-04-12 19:56:00+00:00,11419.606261330202
2023-04-12 19:57:00+00:00,11419.606261330202
2023-04-12 19:58:00+00:00,11419.606261330202
2023-04-12 19:59:00+00:00,11419.606261330202
2023-04-13 13:30:00+00:00,11419.606261330202
2023-04-13 13:31:00+00:00,11419.606261330202
2023-04-13 13:32:00+00:00,11419.606261330202
2023-04-13 13:33:00+00:00,11419.606261330202
2023-04-13 13:34:00+00:00,11419.606261330202
2023-04-13 13:35:00+00:00,11307.928219578696
2023-04-13 13:36:00+00:00,11286.921072693198
2023-04-13 13:37:00+00:00,11286.921072693198
2023-04-13 13:38:00+00:00,11286.921072693198
2023-04-13 13:39:00+00:00,11286.921072693198
2023-04-13 13:40:00+00:00,11286.921072693198
2023-04-13 13:41:00+00:00,11286.921072693198
2023-04-13 13:42:00+00:00,11286.921072693198
2023-04-13 13:43:00+00:00,11286.921072693198
2023-04-13 13:44:00+00:00,11286.921072693198
2023-04-13 13:45:00+00:00,11286.921072693198
2023-04-13 13:46:00+00:00,11286.921072693198
2023-04-13 13:47:00+00:00,11286.921072693198
2023-04-13 13:48:00+00:00,11286.921072693198
2023-04-13 13:49:00+00:00,11286.921072693198
2023-04-13 13:50:00+00:00,11286.921072693198
2023-04-13 13:51:00+00:00,11286.921072693198
2023-04-13 13:52:00+00:00,11286.921072693198
2023-04-13 13:53:00+00:00,11286.921072693198
2023-04-13 13:54:00+00:00,11286.921072693198
2023-04-13 13:55:00+00:00,11286.921072693198
2023-04-13 13:56:00+00:00,11286.921072693198
2023-04-13 13:57:00+00:00,11310.965945568656
2023-04-13 13:58:00+00:00,11310.965945568656
2023-04-13 13:59:00+00:00,11310.965945568656
2023-04-13 14:00:00+00:00,11310.965945568656
2023-04-13 14:01:00+00:00,11310.965945568656
2023-04-13 14:02:00+00:00,11310.965945568656
2023-04-13 14:03:00+00:00,11310.965945568656
2023-04-13 14:04:00+00:00,11310.965945568656
2023-04-13 14:05:00+00:00,11310.965945568656
2023-04-13 14:06:00+00:00,11272.0193224675
2023-04-13 14:07:00+00:00,11272.0193224675
2023-04-13 14:08:00+00:00,11272.0193224675
2023-04-13 14:09:00+00:00,11272.0193224675
2023-04-13 14:10:00+00:00,11272.0193224675
2023-04-13 14:11:00+00:00,11272.0193224675
2023-04-13 14:12:00+00:00,11272.0193224675
2023-04-13 14:13:00+00:00,11272.0193224675
2023-04-13 14:14:00+00:00,11272.0193224675
2023-04-13 14:15:00+00:00,11272.0193224675
2023-04-13 14:16:00+00:00,11272.0193224675
2023-04-13 14:17:00+00:00,11272.0193224675
2023-04-13 14:18:00+00:00,11272.0193224675
2023-04-13 14:19:00+00:00,11272.0193224675
2023-04-13 14:20:00+00:00,11272.0193224675
2023-04-13 14:21:00+00:00,11304.693494980278
2023-04-13 14:22:00+00:00,11304.693494980278
2023-04-13 14:23:00+00:00,11304.693494980278
2023-04-13 14:24:00+00:00,11304.693494980278
2023-04-13 14:25:00+00:00,11304.693494980278
2023-04-13 14:26:00+00:00,11304.693494980278
2023-04-13 14:27:00+00:00,11304.693494980278
2023-04-13 14:28:00+00:00,11304.693494980278
2023-04-13 14:29:00+00:00,11304.693494980278
2023-04-13 14:30:00+00:00,11304.693494980278
2023-04-13 14:31:00+00:00,11304.693494980278
2023-04-13 14:32:00+00:00,11304.693494980278
2023-04-13 14:33:00+00:00,11304.693494980278
2023-04-13 14:34:00+00:00,11304.693494980278
2023-04-13 14:35:00+00:00,11304.693494980278
2023-04-13 14:36:00+00:00,11304.693494980278
2023-04-13 14:37:00+00:00,11304.693494980278
2023-04-13 14:38:00+00:00,11304.693494980278
2023-04-13 14:39:00+00:00,11304.693494980278
2023-04-13 14:40:00+00:00,11304.693494980278
2023-04-13 14:41:00+00:00,11304.693494980278
2023-04-13 14:42:00+00:00,11292.488362458245
2023-04-13 14:43:00+00:00,11292.488362458245
2023-04-13 14:44:00+00:00,11292.488362458245
2023-04-13 14:45:00+00:00,11292.488362458245
2023-04-13 14:46:00+00:00,11292.488362458245
2023-04-13 14:47:00+00:00,11292.488362458245
2023-04-13 14:48:00+00:00,11279.430532094033
2023-04-13 14:49:00+00:00,11279.430532094033
2023-04-13 14:50:00+00:00,11279.430532094033
2023-04-13 14:51:00+00:00,11279.430532094033
2023-04-13 14:52:00+00:00,11279.430532094033
2023-04-13 14:53:00+00:00,11279.430532094033
2023-04-13 14:54:00+00:00,11279.430532094033
2023-04-13 14:55:00+00:00,11279.430532094033
2023-04-13 14:56:00+00:00,11279.430532094033
2023-04-13 14:57:00+00:00,11279.430532094033
2023-04-13 14:58:00+00:00,11279.430532094033
2023-04-13 14:59:00+00:00,11279.430532094033
2023-04-13 15:00:00+00:00,11279.430532094033
2023-04-13 15:01:00+00:00,11279.430532094033
2023-04-13 15:02:00+00:00,11279.430532094033
2023-04-13 15:03:00+00:00,11279.430532094033
2023-04-13 15:04:00+00:00,11279.430532094033
2023-04-13 15:05:00+00:00,11279.430532094033
2023-04-13 15:06:00+00:00,11279.430532094033
2023-04-13 15:07:00+00:00,11279.430532094033
2023-04-13 15:08:00+00:00,11279.430532094033
2023-04-13 15:09:00+00:00,11279.430532094033
2023-04-13 15:10:00+00:00,11279.430532094033
2023-04-13 15:11:00+00:00,11279.430532094033
2023-04-13 15:12:00+00:00,11279.430532094033
2023-04-13 15:13:00+00:00,11279.430532094033
2023-04-13 15:14:00+00:00,11279.430532094033
2023-04-13 15:15:00+00:00,11279.430532094033
2023-04-13 15:16:00+00:00,11279.430532094033
2023-04-13 15:17:00+00:00,11279.430532094033
2023-04-13 15:18:00+00:00,11279.430532094033
2023-04-13 15:19:00+00:00,11279.430532094033
2023-04-13 15:20:00+00:00,11279.430532094033
2023-04-13 15:21:00+00:00,11279.430532094033
2023-04-13 15:22:00+00:00,11279.430532094033
2023-04-13 15:23:00+00:00,11279.430532094033
2023-04-13 15:24:00+00:00,11279.430532094033
2023-04-13 15:25:00+00:00,11279.430532094033
2023-04-13 15:26:00+00:00,11279.430532094033
2023-04-13 15:27:00+00:00,11279.430532094033
2023-04-13 15:28:00+00:00,11279.430532094033
2023-04-13 15:29:00+00:00,11279.430532094033
2023-04-13 15:30:00+00:00,11279.430532094033
2023-04-13 15:31:00+00:00,11279.430532094033
2023-04-13 15:32:00+00:00,11727.05647018364
2023-04-13 15:33:00+00:00,11727.05647018364
2023-04-13 15:34:00+00:00,11727.05647018364
2023-04-13 15:35:00+00:00,11727.05647018364
2023-04-13 15:36:00+00:00,11727.05647018364
2023-04-13 15:37:00+00:00,11727.05647018364
2023-04-13 15:38:00+00:00,11727.05647018364
2023-04-13 15:39:00+00:00,11727.05647018364
2023-04-13 15:40:00+00:00,11727.05647018364
2023-04-13 15:41:00+00:00,11727.05647018364
2023-04-13 15:42:00+00:00,11727.05647018364
2023-04-13 15:43:00+00:00,11727.05647018364
2023-04-13 15:44:00+00:00,11727.05647018364
2023-04-13 15:45:00+00:00,11727.05647018364
2023-04-13 15:46:00+00:00,11727.05647018364
2023-04-13 15:47:00+00:00,11727.05647018364
2023-04-13 15:48:00+00:00,11727.05647018364
2023-04-13 15:49:00+00:00,11727.05647018364
2023-04-13 15:50:00+00:00,11727.05647018364
2023-04-13 15:51:00+00:00,11727.05647018364
2023-04-13 15:52:00+00:00,11727.05647018364
2023-04-13 15:53:00+00:00,11727.05647018364
2023-04-13 15:54:00+00:00,11727.05647018364
2023-04-13 15:55:00+00:00,11727.05647018364
2023-04-13 15:56:00+00:00,11727.05647018364
2023-04-13 15:57:00+00:00,11727.05647018364
2023-04-13 15:58:00+00:00,11727.05647018364
2023-04-13 15:59:00+00:00,11727.05647018364
2023-04-13 16:00:00+00:00,11727.05647018364
2023-04-13 16:01:00+00:00,11727.05647018364
2023-04-13 16:02:00+00:00,11727.05647018364
2023-04-13 16:03:00+00:00,11727.05647018364
2023-04-13 16:04:00+00:00,11727.05647018364
2023-04-13 16:05:00+00:00,11727.05647018364
2023-04-13 16:06:00+00:00,11727.05647018364
2023-04-13 16:07:00+00:00,11727.05647018364
2023-04-13 16:08:00+00:00,11727.05647018364
2023-04-13 16:09:00+00:00,11727.05647018364
2023-04-13 16:10:00+00:00,11727.05647018364
2023-04-13 16:11:00+00:00,11727.05647018364
2023-04-13 16:12:00+00:00,11727.05647018364
2023-04-13 16:13:00+00:00,11727.05647018364
2023-04-13 16:14:00+00:00,11727.05647018364
2023-04-13 16:15:00+00:00,11727.05647018364
2023-04-13 16:16:00+00:00,11727.05647018364
2023-04-13 16:17:00+00:00,11727.05647018364
2023-04-13 16:18:00+00:00,11727.05647018364
2023-04-13 16:19:00+00:00,11727.05647018364
2023-04-13 16:20:00+00:00,11727.05647018364
2023-04-13 16:21:00+00:00,11727.05647018364
2023-04-13 16:22:00+00:00,11727.05647018364
2023-04-13 16:23:00+00:00,11727.05647018364
2023-04-13 16:24:00+00:00,11727.05647018364
2023-04-13 16:25:00+00:00,11727.05647018364
2023-04-13 16:26:00+00:00,11727.05647018364
2023-04-13 16:27:00+00:00,11727.05647018364
2023-04-13 16:28:00+00:00,11727.05647018364
2023-04-13 16:29:00+00:00,11727.05647018364
2023-04-13 16:30:00+00:00,11727.05647018364
2023-04-13 16:31:00+00:00,11727.05647018364
2023-04-13 16:32:00+00:00,11727.05647018364
2023-04-13 16:33:00+00:00,11727.05647018364
2023-04-13 16:34:00+00:00,11727.05647018364
2023-04-13 16:35:00+00:00,11727.05647018364
2023-04-13 16:36:00+00:00,11727.05647018364
2023-04-13 16:37:00+00:00,11727.05647018364
2023-04-13 16:38:00+00:00,11727.05647018364
2023-04-13 16:39:00+00:00,11727.05647018364
2023-04-13 16:40:00+00:00,11727.05647018364
2023-04-13 16:41:00+00:00,11727.05647018364
2023-04-13 16:42:00+00:00,11727.05647018364
2023-04-13 16:43:00+00:00,11727.05647018364
2023-04-13 16:44:00+00:00,11727.05647018364
2023-04-13 16:45:00+00:00,11727.05647018364
2023-04-13 16:46:00+00:00,11727.05647018364
2023-04-13 16:47:00+00:00,11727.05647018364
2023-04-13 16:48:00+00:00,11727.05647018364
2023-04-13 16:49:00+00:00,11727.05647018364
2023-04-13 16:50:00+00:00,11727.05647018364
2023-04-13 16:51:00+00:00,11727.05647018364
2023-04-13 16:52:00+00:00,11727.05647018364
2023-04-13 16:53:00+00:00,11727.05647018364
2023-04-13 16:54:00+00:00,11727.05647018364
2023-04-13 16:55:00+00:00,11727.05647018364
2023-04-13 16:56:00+00:00,11727.05647018364
2023-04-13 16:57:00+00:00,11727.05647018364
2023-04-13 16:58:00+00:00,11727.05647018364
2023-04-13 16:59:00+00:00,11727.05647018364
2023-04-13 17:00:00+00:00,11727.05647018364
2023-04-13 17:01:00+00:00,11727.05647018364
2023-04-13 17:02:00+00:00,11727.05647018364
2023-04-13 17:03:00+00:00,11727.05647018364
2023-04-13 17:04:00+00:00,11727.05647018364
2023-04-13 17:05:00+00:00,11727.05647018364
2023-04-13 17:06:00+00:00,11727.05647018364
2023-04-13 17:07:00+00:00,11767.649689955979
2023-04-13 17:08:00+00:00,11767.649689955979
2023-04-13 17:09:00+00:00,11767.649689955979
2023-04-13 17:10:00+00:00,11767.649689955979
2023-04-13 17:11:00+00:00,11767.649689955979
2023-04-13 17:12:00+00:00,11767.649689955979
2023-04-13 17:13:00+00:00,11767.649689955979
2023-04-13 17:14:00+00:00,11767.649689955979
2023-04-13 17:15:00+00:00,11767.649689955979
2023-04-13 17:16:00+00:00,11767.649689955979
2023-04-13 17:17:00+00:00,11767.649689955979
2023-04-13 17:18:00+00:00,11767.649689955979
2023-04-13 17:19:00+00:00,11767.649689955979
2023-04-13 17:20:00+00:00,11767.649689955979
2023-04-13 17:21:00+00:00,11767.649689955979
2023-04-13 17:22:00+00:00,11767.649689955979
2023-04-13 17:23:00+00:00,11767.649689955979
2023-04-13 17:24:00+00:00,11767.649689955979
2023-04-13 17:25:00+00:00,11767.649689955979
2023-04-13 17:26:00+00:00,11767.649689955979
2023-04-13 17:27:00+00:00,11767.649689955979
2023-04-13 17:28:00+00:00,11767.649689955979
2023-04-13 17:29:00+00:00,11767.649689955979
2023-04-13 17:30:00+00:00,11767.649689955979
2023-04-13 17:31:00+00:00,11767.649689955979
2023-04-13 17:32:00+00:00,11767.649689955979
2023-04-13 17:33:00+00:00,11767.649689955979
2023-04-13 17:34:00+00:00,11767.649689955979
2023-04-13 17:35:00+00:00,11767.649689955979
2023-04-13 17:36:00+00:00,11767.649689955979
2023-04-13 17:37:00+00:00,11767.649689955979
2023-04-13 17:38:00+00:00,11767.649689955979
2023-04-13 17:39:00+00:00,11767.649689955979
2023-04-13 17:40:00+00:00,11767.649689955979
2023-04-13 17:41:00+00:00,11767.649689955979
2023-04-13 17:42:00+00:00,11767.649689955979
2023-04-13 17:43:00+00:00,11767.649689955979
2023-04-13 17:44:00+00:00,11767.649689955979
2023-04-13 17:45:00+00:00,11767.649689955979
2023-04-13 17:46:00+00:00,11767.649689955979
2023-04-13 17:47:00+00:00,11767.649689955979
2023-04-13 17:48:00+00:00,11767.649689955979
2023-04-13 17:49:00+00:00,11767.649689955979
2023-04-13 17:50:00+00:00,11767.649689955979
2023-04-13 17:51:00+00:00,11767.649689955979
2023-04-13 17:52:00+00:00,11767.649689955979
2023-04-13 17:53:00+00:00,11767.649689955979
2023-04-13 17:54:00+00:00,11767.649689955979
2023-04-13 17:55:00+00:00,11767.649689955979
2023-04-13 17:56:00+00:00,11767.649689955979
2023-04-13 17:57:00+00:00,11767.649689955979
2023-04-13 17:58:00+00:00,11767.649689955979
2023-04-13 17:59:00+00:00,11767.649689955979
2023-04-13 18:00:00+00:00,11767.649689955979
2023-04-13 18:01:00+00:00,11767.649689955979
2023-04-13 18:02:00+00:00,11767.649689955979
2023-04-13 18:03:00+00:00,11767.649689955979
2023-04-13 18:04:00+00:00,11767.649689955979
2023-04-13 18:05:00+00:00,11767.649689955979
2023-04-13 18:06:00+00:00,11767.649689955979
2023-04-13 18:07:00+00:00,11767.649689955979
2023-04-13 18:08:00+00:00,11767.649689955979
2023-04-13 18:09:00+00:00,11767.649689955979
2023-04-13 18:10:00+00:00,11767.649689955979
2023-04-13 18:11:00+00:00,11767.649689955979
2023-04-13 18:12:00+00:00,11767.649689955979
2023-04-13 18:13:00+00:00,11767.649689955979
2023-04-13 18:14:00+00:00,11767.649689955979
2023-04-13 18:15:00+00:00,11767.649689955979
